,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,FIE 1 minus FIE 2,EA 1 minus EA 2,num of Valence 1 minus num of Valence 2,Average VdW Radius squared,Difference,Gdiff_ML,Gdiff_Final
143,CH2,CH,2.5,3.08,2.35,0.5,12.62,0.97,5.5,0.06,0.08,0.08,0.39,0.08,1.0,1.98,,-0.14202919602394104,-0.14202919602394104
144,CH2,CH2,3.0,2.67,2.32,0.46,12.82,0.92,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,,-0.26143038272857666,-0.26143038272857666
145,CH2,CH3,3.5,2.46,2.3,0.45,12.92,0.9,6.5,0.03,0.03,0.04,0.19,0.04,1.0,1.81,,-0.2592737078666687,-0.2592737078666687
146,CH2,S,2.0,9.33,2.45,0.75,11.59,1.5,6.0,0.26,0.57,0.43,2.46,1.15,0.0,2.51,,-0.09936125576496124,-0.09936125576496124
147,CH2,SH,2.5,5.58,2.35,0.57,12.4,1.17,6.5,0.07,0.22,0.13,0.84,0.49,1.0,2.05,-0.16288,-0.1630847454071045,-0.16288
148,CH2,SH2,3.0,4.33,2.32,0.51,12.67,1.06,7.0,0.01,0.1,0.03,0.3,0.27,2.0,1.91,0.11277999999999999,0.11235886067152023,0.11277999999999999
149,CH2,F,2.0,5.83,3.15,0.55,15.12,2.16,6.5,1.66,0.18,0.1,4.6,2.48,1.0,2.01,,-0.08763846009969711,-0.08763846009969711
150,CH2,Cl,2.0,9.83,2.74,0.73,12.89,2.27,6.5,0.84,0.53,0.38,0.15,2.69,1.0,2.43,,-0.19962862133979797,-0.19962862133979797
151,CH2,Br,2.0,18.83,2.64,0.8,12.32,2.14,6.5,0.64,0.68,0.48,1.0,2.44,1.0,2.59,-0.0526,-0.052585385739803314,-0.0526
152,CH2,I,2.0,27.83,2.49,0.9,11.63,1.99,6.5,0.34,0.87,0.61,2.37,2.14,1.0,2.8,,-0.03725969418883324,-0.03725969418883324
153,CH3,O,2.5,5.13,2.86,0.53,13.32,1.17,6.5,1.15,0.2,0.2,0.6,0.58,1.0,2.02,,-0.2644451856613159,-0.2644451856613159
154,CH3,OH,3.0,3.38,2.55,0.46,13.31,0.99,7.0,0.53,0.05,0.03,0.59,0.23,0.0,1.8,,-0.32402339577674866,-0.32402339577674866
155,CH3,N,2.5,4.63,2.66,0.57,13.77,0.41,6.0,0.75,0.28,0.23,1.52,0.95,2.0,2.07,-0.09523,-0.09505298733711243,-0.09523
156,CH3,NH,3.0,3.13,2.45,0.48,13.54,0.61,6.5,0.33,0.09,0.05,1.05,0.54,1.0,1.82,-0.24345,-0.24316802620887756,-0.24345
157,CH3,NH2,3.5,2.63,2.38,0.44,13.46,0.68,7.0,0.19,0.02,0.01,0.9,0.4,0.0,1.74,,-0.3244059085845947,-0.3244059085845947
158,CH3,NH3,4.0,2.38,2.35,0.43,13.42,0.71,7.5,0.12,0.01,0.04,0.82,0.33,1.0,1.71,,-0.32078900933265686,-0.32078900933265686
159,CH3,C,2.5,4.13,2.42,0.59,12.14,1.07,5.5,0.26,0.32,0.38,1.75,0.38,3.0,2.29,,-0.054745543748140335,-0.054745543748140335
160,CH3,CH,3.0,2.88,2.33,0.49,12.72,0.94,6.0,0.09,0.11,0.13,0.58,0.13,2.0,1.93,,-0.19786220788955688,-0.19786220788955688
161,CH3,CH2,3.5,2.46,2.3,0.45,12.92,0.9,6.5,0.03,0.03,0.04,0.19,0.04,1.0,1.81,,-0.2592737078666687,-0.2592737078666687
162,CH3,CH3,4.0,2.25,2.29,0.43,13.01,0.88,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,,-0.3354227840900421,-0.3354227840900421
163,CH3,S,2.5,9.13,2.43,0.73,11.69,1.48,6.5,0.29,0.6,0.48,2.65,1.2,1.0,2.44,-0.13873,-0.138292133808136,-0.13873
164,CH3,SH,3.0,5.38,2.34,0.56,12.5,1.15,7.0,0.1,0.25,0.18,1.03,0.54,0.0,2.0,,-0.19793978333473206,-0.19793978333473206
165,CH3,SH2,3.5,4.13,2.31,0.5,12.77,1.04,7.5,0.04,0.13,0.08,0.49,0.32,1.0,1.86,,-0.3270144462585449,-0.3270144462585449
166,CH3,F,2.5,5.63,3.13,0.54,15.22,2.14,7.0,1.69,0.21,0.15,4.41,2.52,0.0,1.95,-0.10677,-0.10699538886547089,-0.10677
167,CH3,Cl,2.5,9.63,2.72,0.71,12.99,2.25,7.0,0.87,0.56,0.43,0.05,2.73,0.0,2.36,,-0.3457271456718445,-0.3457271456718445
168,CH3,Br,2.5,18.63,2.62,0.79,12.41,2.12,7.0,0.67,0.71,0.53,1.2,2.48,0.0,2.52,,-0.052585385739803314,-0.052585385739803314
169,CH3,I,2.5,27.63,2.47,0.88,11.73,1.97,7.0,0.37,0.9,0.66,2.56,2.18,0.0,2.73,,-0.039537955075502396,-0.039537955075502396
170,S,O,1.0,12.0,3.01,0.83,11.99,1.77,6.0,0.86,0.4,0.28,3.26,0.62,0.0,2.76,,-0.01410716399550438,-0.01410716399550438
171,S,OH,1.5,10.25,2.7,0.76,11.98,1.59,6.5,0.24,0.55,0.44,3.25,0.97,1.0,2.5,,-0.021370626986026764,-0.021370626986026764
172,S,N,1.0,11.5,2.81,0.87,12.45,1.0,5.5,0.46,0.32,0.25,4.17,2.15,1.0,2.81,0.11756,0.11749818921089172,0.11756
173,S,NH,1.5,10.0,2.6,0.78,12.21,1.21,6.0,0.04,0.51,0.43,3.71,1.74,0.0,2.52,,-0.01718677207827568,-0.01718677207827568
174,S,NH2,2.0,9.5,2.53,0.74,12.14,1.28,6.5,0.1,0.58,0.48,3.55,1.6,1.0,2.43,-0.09915,-0.0996570885181427,-0.09915
175,S,NH3,2.5,9.25,2.5,0.73,12.1,1.31,7.0,0.17,0.61,0.51,3.47,1.53,2.0,2.38,,0.05330168455839157,0.05330168455839157
176,S,C,1.0,11.0,2.57,0.89,10.81,1.67,5.0,0.03,0.28,0.1,0.9,0.82,2.0,3.06,,0.06562009453773499,0.06562009453773499
177,S,CH,1.5,9.75,2.48,0.79,11.39,1.54,5.5,0.21,0.49,0.35,2.07,1.07,1.0,2.64,,-0.1031327173113823,-0.1031327173113823
178,S,CH2,2.0,9.33,2.45,0.75,11.59,1.5,6.0,0.26,0.57,0.43,2.46,1.15,0.0,2.51,,-0.09936125576496124,-0.09936125576496124
179,S,CH3,2.5,9.13,2.43,0.73,11.69,1.48,6.5,0.29,0.6,0.48,2.65,1.2,1.0,2.44,-0.13873,-0.138292133808136,-0.13873
180,S,S,1.0,16.0,2.58,1.03,10.36,2.08,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,,-0.05636629834771156,-0.05636629834771156
181,S,SH,1.5,12.25,2.49,0.86,11.17,1.75,6.5,0.19,0.35,0.3,1.62,0.66,1.0,2.72,-0.023880000000000002,-0.023131949827075005,-0.023880000000000002
182,S,SH2,2.0,11.0,2.45,0.8,11.44,1.64,7.0,0.25,0.47,0.4,2.16,0.88,2.0,2.56,,-0.02764272503554821,-0.02764272503554821
183,S,F,1.0,12.5,3.28,0.84,13.89,2.74,6.5,1.4,0.39,0.33,7.06,1.32,1.0,2.67,,-0.15254522860050201,-0.15254522860050201
184,S,Cl,1.0,16.5,2.87,1.01,11.66,2.84,6.5,0.58,0.04,0.05,2.61,1.54,1.0,3.15,,-0.1371094435453415,-0.1371094435453415
185,S,Br,1.0,25.5,2.77,1.09,11.09,2.72,6.5,0.38,0.11,0.05,1.45,1.29,1.0,3.33,,-0.04576439782977104,-0.04576439782977104
186,S,I,1.0,34.5,2.62,1.18,10.41,2.57,6.5,0.08,0.3,0.18,0.09,0.98,1.0,3.57,,-0.025206582620739937,-0.025206582620739937
187,SH,O,1.5,8.25,2.92,0.66,12.8,1.44,6.5,1.05,0.05,0.02,1.64,0.04,1.0,2.28,,-0.14540506899356842,-0.14540506899356842
188,SH,OH,2.0,6.5,2.61,0.58,12.79,1.26,7.0,0.43,0.2,0.14,1.63,0.31,0.0,2.04,,-0.13138945400714874,-0.13138945400714874
189,SH,N,1.5,7.75,2.72,0.7,13.26,0.67,6.0,0.65,0.03,0.05,2.56,1.49,2.0,2.33,,-0.1114688441157341,-0.1114688441157341
190,SH,NH,2.0,6.25,2.51,0.6,13.02,0.88,6.5,0.23,0.16,0.13,2.09,1.08,1.0,2.07,,-0.14820855855941772,-0.14820855855941772
191,SH,NH2,2.5,5.75,2.44,0.57,12.94,0.95,7.0,0.09,0.23,0.18,1.93,0.94,0.0,1.98,,-0.1745711863040924,-0.1745711863040924
192,SH,NH3,3.0,5.5,2.4,0.55,12.91,0.98,7.5,0.02,0.26,0.21,1.85,0.87,1.0,1.94,,-0.11932695657014847,-0.11932695657014847
193,SH,C,1.5,7.25,2.47,0.72,11.62,1.34,5.5,0.16,0.07,0.2,0.72,0.16,3.0,2.56,,-0.09619970619678497,-0.09619970619678497
194,SH,CH,2.0,6.0,2.38,0.61,12.2,1.21,6.0,0.02,0.14,0.05,0.45,0.41,2.0,2.18,-0.12052,-0.12007375806570053,-0.12052
195,SH,CH2,2.5,5.58,2.35,0.57,12.4,1.17,6.5,0.07,0.22,0.13,0.84,0.49,1.0,2.05,-0.16288,-0.1630847454071045,-0.16288
196,SH,CH3,3.0,5.38,2.34,0.56,12.5,1.15,7.0,0.1,0.25,0.18,1.03,0.54,0.0,2.0,,-0.19793978333473206,-0.19793978333473206
197,SH,S,1.5,12.25,2.49,0.86,11.17,1.75,6.5,0.19,0.35,0.3,1.62,0.66,1.0,2.72,-0.023880000000000002,-0.023131949827075005,-0.023880000000000002
198,SH,SH,2.0,8.5,2.39,0.68,11.98,1.42,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,,-0.28830957412719727,-0.28830957412719727
199,SH,SH2,2.5,7.25,2.36,0.62,12.25,1.31,7.5,0.06,0.12,0.1,0.54,0.22,1.0,2.1,-0.24995,-0.25023743510246277,-0.24995
200,SH,F,1.5,8.75,3.19,0.66,14.7,2.41,7.0,1.59,0.04,0.03,5.44,1.98,0.0,2.21,-0.15458,-0.1546918898820877,-0.15458
201,SH,Cl,1.5,12.75,2.78,0.84,12.47,2.51,7.0,0.77,0.31,0.25,0.99,2.2,0.0,2.64,,-0.07882344722747803,-0.07882344722747803
202,SH,Br,1.5,21.75,2.68,0.91,11.9,2.39,7.0,0.57,0.46,0.35,0.16,1.95,0.0,2.81,-0.01192,-0.011731219477951527,-0.01192
203,SH,I,1.5,30.75,2.53,1.01,11.22,2.24,7.5,0.27,0.65,0.48,1.53,1.64,1.0,3.03,,-0.04094894602894783,-0.04094894602894783
204,SH2,O,2.0,7.0,2.88,0.6,13.07,1.33,7.0,1.11,0.07,0.12,1.1,0.26,2.0,2.13,,0.01011198852211237,0.01011198852211237
205,SH2,OH,2.5,5.25,2.57,0.52,13.06,1.15,7.5,0.49,0.08,0.04,1.09,0.09,1.0,1.9,-0.39703,-0.39663389325141907,-0.39703
206,SH2,N,2.0,6.5,2.68,0.64,13.53,0.56,6.5,0.71,0.15,0.15,2.02,1.27,3.0,2.18,,0.01218025665730238,0.01218025665730238
207,SH2,NH,2.5,5.0,2.47,0.54,13.29,0.77,7.0,0.29,0.04,0.03,1.55,0.85,2.0,1.93,,-0.02540663816034794,-0.02540663816034794
208,SH2,NH2,3.0,4.5,2.4,0.51,13.21,0.84,7.5,0.15,0.11,0.08,1.39,0.72,1.0,1.85,,-0.11932695657014847,-0.11932695657014847
209,SH2,NH3,3.5,4.25,2.37,0.49,13.18,0.87,8.0,0.08,0.14,0.11,1.31,0.65,0.0,1.81,,-0.3268832564353943,-0.3268832564353943
210,SH2,C,2.0,6.0,2.44,0.66,11.89,1.23,6.0,0.22,0.19,0.3,1.26,0.07,4.0,2.4,,-0.13111278414726257,-0.13111278414726257
211,SH2,CH,2.5,4.75,2.35,0.55,12.47,1.1,6.5,0.05,0.02,0.05,0.09,0.19,3.0,2.03,,0.1067303940653801,0.1067303940653801
212,SH2,CH2,3.0,4.33,2.32,0.51,12.67,1.06,7.0,0.01,0.1,0.03,0.3,0.27,2.0,1.91,0.11277999999999999,0.11235886067152023,0.11277999999999999
213,SH2,CH3,3.5,4.13,2.31,0.5,12.77,1.04,7.5,0.04,0.13,0.08,0.49,0.32,1.0,1.86,,-0.3270144462585449,-0.3270144462585449
214,SH2,S,2.0,11.0,2.45,0.8,11.44,1.64,7.0,0.25,0.47,0.4,2.16,0.88,2.0,2.56,,-0.02764272503554821,-0.02764272503554821
215,SH2,SH,2.5,7.25,2.36,0.62,12.25,1.31,7.5,0.06,0.12,0.1,0.54,0.22,1.0,2.1,-0.24995,-0.25023743510246277,-0.24995
216,SH2,SH2,3.0,6.0,2.33,0.56,12.52,1.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,,-0.21095319092273712,-0.21095319092273712
217,SH2,F,2.0,7.5,3.15,0.6,14.97,2.3,7.5,1.65,0.08,0.07,4.9,2.21,1.0,2.06,-0.04358,-0.042976364493370056,-0.04358
218,SH2,Cl,2.0,11.5,2.74,0.78,12.74,2.4,7.5,0.83,0.43,0.35,0.45,2.42,1.0,2.48,,-0.04131888598203659,-0.04131888598203659
219,SH2,Br,2.0,20.5,2.64,0.85,12.17,2.28,7.5,0.63,0.58,0.45,0.7,2.17,1.0,2.64,,-0.053434256464242935,-0.053434256464242935
220,SH2,I,2.0,29.5,2.49,0.95,11.48,2.13,7.5,0.33,0.77,0.58,2.07,1.86,1.0,2.86,,-0.04094894602894783,-0.04094894602894783
221,F,O,1.0,8.5,3.71,0.64,15.52,2.43,6.5,0.54,0.01,0.05,3.8,1.94,1.0,2.24,,-0.16162137687206268,-0.16162137687206268
222,F,OH,1.5,6.75,3.4,0.56,15.52,2.25,7.0,1.16,0.16,0.11,3.81,2.29,0.0,2.0,-0.13604000000000002,-0.13506366312503815,-0.13604000000000002
223,F,N,1.0,8.0,3.51,0.68,15.98,1.67,6.0,0.94,0.07,0.08,2.89,3.47,2.0,2.28,,-0.12120383977890015,-0.12120383977890015
224,F,NH,1.5,6.5,3.3,0.58,15.74,1.87,6.5,1.36,0.12,0.1,3.36,3.06,1.0,2.02,,-0.13311265408992767,-0.13311265408992767
225,F,NH2,2.0,6.0,3.23,0.55,15.67,1.94,7.0,1.5,0.19,0.15,3.51,2.92,0.0,1.94,,-0.11121668666601181,-0.11121668666601181
226,F,NH3,2.5,5.75,3.2,0.53,15.63,1.97,7.5,1.57,0.22,0.18,3.59,2.85,1.0,1.9,,-0.06618200987577438,-0.06618200987577438
227,F,C,1.0,7.5,3.27,0.7,14.34,2.33,5.5,1.43,0.11,0.23,6.16,2.14,3.0,2.51,,-0.11512521654367447,-0.11512521654367447
228,F,CH,1.5,6.25,3.18,0.59,14.93,2.2,6.0,1.61,0.1,0.02,4.99,2.39,2.0,2.13,-0.10367,-0.10388229787349701,-0.10367
229,F,CH2,2.0,5.83,3.15,0.55,15.12,2.16,6.5,1.66,0.18,0.1,4.6,2.48,1.0,2.01,,-0.08763846009969711,-0.08763846009969711
230,F,CH3,2.5,5.63,3.13,0.54,15.22,2.14,7.0,1.69,0.21,0.15,4.41,2.52,0.0,1.95,-0.10677,-0.10699538886547089,-0.10677
231,F,S,1.0,12.5,3.28,0.84,13.89,2.74,6.5,1.4,0.39,0.33,7.06,1.32,1.0,2.67,,-0.15254522860050201,-0.15254522860050201
232,F,SH,1.5,8.75,3.19,0.66,14.7,2.41,7.0,1.59,0.04,0.03,5.44,1.99,0.0,2.21,-0.15458,-0.1546918898820877,-0.15458
233,F,SH2,2.0,7.5,3.15,0.6,14.97,2.3,7.5,1.65,0.08,0.07,4.9,2.21,1.0,2.06,-0.04358,-0.042976364493370056,-0.04358
234,F,F,1.0,9.0,3.98,0.64,17.42,3.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,,-0.2823501527309418,-0.2823501527309418
235,F,Cl,1.0,13.0,3.57,0.82,15.19,3.51,7.0,0.82,0.35,0.28,4.46,0.21,0.0,2.59,,-0.15254522860050201,-0.15254522860050201
236,F,Br,1.0,22.0,3.47,0.89,14.62,3.38,7.0,1.02,0.5,0.38,5.61,0.04,0.0,2.76,,-0.05568797513842583,-0.05568797513842583
237,F,I,1.0,31.0,3.32,0.99,13.94,3.23,7.0,1.32,0.69,0.51,6.97,0.34,0.0,2.98,,-0.053276512771844864,-0.053276512771844864
238,Cl,O,1.0,12.5,3.3,0.81,13.29,2.54,6.5,0.28,0.36,0.23,0.65,2.15,1.0,2.67,-0.15136,-0.15157289803028107,-0.15136
239,Cl,OH,1.5,10.75,2.99,0.74,13.29,2.36,7.0,0.34,0.51,0.39,0.64,2.5,0.0,2.42,,-0.043288394808769226,-0.043288394808769226
240,Cl,N,1.0,12.0,3.1,0.85,13.75,1.77,6.0,0.12,0.28,0.2,1.57,3.68,2.0,2.72,,-0.0522359162569046,-0.0522359162569046
241,Cl,NH,1.5,10.5,2.89,0.76,13.52,1.98,6.5,0.54,0.47,0.38,1.1,3.27,1.0,2.44,,-0.04578318074345589,-0.04578318074345589
242,Cl,NH2,2.0,10.0,2.82,0.72,13.44,2.05,7.0,0.68,0.54,0.43,0.94,3.13,0.0,2.35,,-0.04578318074345589,-0.04578318074345589
243,Cl,NH3,2.5,9.75,2.79,0.71,13.4,2.08,7.5,0.75,0.57,0.46,0.87,3.06,1.0,2.31,,-0.3428099751472473,-0.3428099751472473
244,Cl,C,1.0,11.5,2.86,0.87,12.11,2.44,5.5,0.61,0.24,0.05,1.71,2.35,3.0,2.98,,0.05354389548301697,0.05354389548301697
245,Cl,CH,1.5,10.25,2.77,0.77,12.7,2.31,6.0,0.79,0.45,0.3,0.54,2.6,2.0,2.56,-0.039080000000000004,-0.03960524499416351,-0.039080000000000004
246,Cl,CH2,2.0,9.83,2.74,0.73,12.89,2.27,6.5,0.84,0.53,0.38,0.15,2.69,1.0,2.43,,-0.19962862133979797,-0.19962862133979797
247,Cl,CH3,2.5,9.63,2.72,0.71,12.99,2.25,7.0,0.87,0.56,0.43,0.05,2.73,0.0,2.36,,-0.3457271456718445,-0.3457271456718445
248,Cl,S,1.0,16.5,2.87,1.01,11.66,2.84,6.5,0.58,0.04,0.05,2.61,1.54,1.0,3.15,,-0.1371094435453415,-0.1371094435453415
249,Cl,SH,1.5,12.75,2.78,0.84,12.47,2.51,7.0,0.77,0.31,0.25,0.99,2.2,0.0,2.64,,-0.07882344722747803,-0.07882344722747803
250,Cl,SH2,2.0,11.5,2.74,0.78,12.74,2.4,7.5,0.83,0.43,0.35,0.45,2.42,1.0,2.48,,-0.04131888598203659,-0.04131888598203659
251,Cl,F,1.0,13.0,3.57,0.82,15.19,3.51,7.0,0.82,0.35,0.28,4.46,0.21,0.0,2.59,,-0.15254522860050201,-0.15254522860050201
252,Cl,Cl,1.0,17.0,3.16,0.99,12.97,3.61,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,,-0.14382308721542358,-0.14382308721542358
253,Cl,Br,1.0,26.0,3.06,1.07,12.39,3.49,7.0,0.2,0.15,0.1,1.15,0.25,0.0,3.24,-0.018680000000000002,-0.01874670758843422,-0.018680000000000002
254,Cl,I,1.0,35.0,2.91,1.16,11.71,3.34,7.0,0.5,0.34,0.23,2.52,0.55,0.0,3.48,,-0.019210243597626686,-0.019210243597626686
255,Br,O,1.0,21.5,3.2,0.89,12.72,2.41,6.5,0.48,0.51,0.33,1.8,1.9,1.0,2.84,,-0.03151671588420868,-0.03151671588420868
256,Br,OH,1.5,19.75,2.89,0.81,12.71,2.24,7.0,0.14,0.66,0.49,1.79,2.26,0.0,2.58,,-0.04697515070438385,-0.04697515070438385
257,Br,N,1.0,21.0,3.0,0.93,13.17,1.65,6.0,0.08,0.43,0.3,2.72,3.43,2.0,2.89,,-0.03623870015144348,-0.03623870015144348
258,Br,NH,1.5,19.5,2.79,0.83,12.94,1.85,6.5,0.34,0.62,0.48,2.25,3.02,1.0,2.6,,-0.045808617025613785,-0.045808617025613785
259,Br,NH2,2.0,19.0,2.72,0.8,12.86,1.92,7.0,0.48,0.69,0.53,2.1,2.88,0.0,2.51,,-0.0517817884683609,-0.0517817884683609
260,Br,NH3,2.5,18.75,2.69,0.78,12.82,1.96,7.5,0.55,0.72,0.56,2.02,2.82,1.0,2.46,,-0.11652425676584244,-0.11652425676584244
261,Br,C,1.0,20.5,2.76,0.95,11.54,2.31,5.5,0.41,0.39,0.15,0.55,2.1,3.0,3.15,,0.08127885311841965,0.08127885311841965
262,Br,CH,1.5,19.25,2.67,0.84,12.12,2.19,6.0,0.59,0.6,0.4,0.62,2.36,2.0,2.72,-0.01465,-0.014515009708702564,-0.01465
263,Br,CH2,2.0,18.83,2.64,0.8,12.32,2.14,6.5,0.64,0.68,0.48,1.0,2.44,1.0,2.59,-0.0526,-0.052585385739803314,-0.0526
264,Br,CH3,2.5,18.63,2.62,0.79,12.41,2.12,7.0,0.67,0.71,0.53,1.2,2.48,0.0,2.52,,-0.052585385739803314,-0.052585385739803314
265,Br,S,1.0,25.5,2.77,1.09,11.09,2.72,6.5,0.38,0.11,0.05,1.45,1.29,1.0,3.33,,-0.04576439782977104,-0.04576439782977104
266,Br,SH,1.5,21.75,2.68,0.91,11.9,2.39,7.0,0.57,0.46,0.35,0.16,1.95,0.0,2.81,-0.01192,-0.011731219477951527,-0.01192
267,Br,SH2,2.0,20.5,2.64,0.85,12.17,2.28,7.5,0.63,0.58,0.45,0.7,2.17,1.0,2.64,,-0.053434256464242935,-0.053434256464242935
268,Br,F,1.0,22.0,3.47,0.89,14.62,3.38,7.0,1.02,0.5,0.38,5.61,0.04,0.0,2.76,,-0.05568797513842583,-0.05568797513842583
269,Br,Cl,1.0,26.0,3.06,1.07,12.39,3.49,7.0,0.2,0.15,0.1,1.15,0.25,0.0,3.24,-0.018680000000000002,-0.01874670758843422,-0.018680000000000002
270,Br,Br,1.0,35.0,2.96,1.14,11.81,3.36,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,,-0.054103054106235504,-0.054103054106235504
271,Br,I,1.0,44.0,2.81,1.24,11.13,3.21,7.0,0.3,0.19,0.13,1.36,0.3,0.0,3.67,,-0.018709156662225723,-0.018709156662225723
272,I,O,1.0,30.5,3.05,0.98,12.03,2.26,6.5,0.78,0.7,0.46,3.17,1.6,1.0,3.06,,-0.042521633207798004,-0.042521633207798004
273,I,OH,1.5,28.75,2.74,0.91,12.03,2.08,7.0,0.16,0.85,0.62,3.16,1.95,0.0,2.79,,-0.05095745623111725,-0.05095745623111725
274,I,N,1.0,30.0,2.85,1.02,12.49,1.49,6.0,0.38,0.62,0.43,4.08,3.13,2.0,3.12,,-0.005602178163826466,-0.005602178163826466
275,I,NH,1.5,28.5,2.64,0.93,12.26,1.7,6.5,0.04,0.81,0.61,3.62,2.72,1.0,2.81,,-0.047268204391002655,-0.047268204391002655
276,I,NH2,2.0,28.0,2.57,0.89,12.18,1.77,7.0,0.18,0.88,0.66,3.46,2.58,0.0,2.72,,-0.049546465277671814,-0.049546465277671814
277,I,NH3,2.5,27.75,2.54,0.88,12.14,1.8,7.5,0.25,0.91,0.69,3.38,2.51,1.0,2.67,,-0.047525227069854736,-0.047525227069854736
278,I,C,1.0,29.5,2.61,1.04,10.86,2.16,5.5,0.11,0.58,0.28,0.81,1.8,3.0,3.39,,0.05611250177025795,0.05611250177025795
279,I,CH,1.5,28.25,2.52,0.94,11.44,2.03,6.0,0.29,0.79,0.53,1.98,2.05,2.0,2.94,,-0.04094894602894783,-0.04094894602894783
280,I,CH2,2.0,27.83,2.49,0.9,11.63,1.99,6.5,0.34,0.87,0.61,2.37,2.14,1.0,2.8,,-0.03725969418883324,-0.03725969418883324
281,I,CH3,2.5,27.63,2.47,0.88,11.73,1.97,7.0,0.37,0.9,0.66,2.56,2.18,0.0,2.73,,-0.039537955075502396,-0.039537955075502396
282,I,S,1.0,34.5,2.62,1.18,10.41,2.57,6.5,0.08,0.3,0.18,0.09,0.98,1.0,3.57,,-0.025206582620739937,-0.025206582620739937
283,I,SH,1.5,30.75,2.53,1.01,11.22,2.24,7.0,0.27,0.65,0.48,1.53,1.64,0.0,3.03,,-0.04094894602894783,-0.04094894602894783
284,I,SH2,2.0,29.5,2.49,0.95,11.48,2.13,7.5,0.33,0.77,0.58,2.07,1.86,1.0,2.86,,-0.04094894602894783,-0.04094894602894783
285,I,F,1.0,31.0,3.32,0.99,13.94,3.23,7.0,1.32,0.69,0.51,6.97,0.34,0.0,2.98,,-0.053276512771844864,-0.053276512771844864
286,I,Cl,1.0,35.0,2.91,1.16,11.71,3.34,7.0,0.5,0.34,0.23,2.52,0.55,0.0,3.48,,-0.019210243597626686,-0.019210243597626686
287,I,Br,1.0,44.0,2.81,1.24,11.13,3.21,7.0,0.3,0.19,0.13,1.36,0.3,0.0,3.67,,-0.018709156662225723,-0.018709156662225723
288,I,I,1.0,53.0,2.66,1.33,10.45,3.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,,-0.0665375292301178,-0.0665375292301178
